Kelvin Benjamin&WR$CAR
Emmanuel Sanders&WR$DEN
Steve Johnson&WR$SD
Kawann Short&DL$CAR
Julius Peppers&LB$GB
Davante Adams&WR$GB
Chris Baker&DL$WAS
Paul Worrilow&LB$ATL
Aaron Rodgers&QB$GB
Prince Amukamara&DB$NYG
Robert Quinn&DL$STL
Jason Pierre-Paul&DL$NYG
Marcell Dareus&DL$BUF
T.Y. Hilton&WR$IND
Dez Bryant&WR$DAL
Damontre Moore&DL$MIA
Jerod Mayo&LB$NE
Stephen Tulloch&LB$DET
Ted Ginn&WR$CAR
Antonio Brown&WR$PIT
John Brown&WR$ARI
James Laurinaitis&LB$STL
T.J. McDonald&DB$STL
Alfred Blue&RB$HOU
Charles Woodson&DB$OAK
Blake Bortles&QB$JAC
Dorial Green-Beckham&WR$TEN
Kevin White&WR$CHI
Luke Kuechly&LB$CAR
Fred Jackson&RB$SEA
Chandler Jones&DL$NE
Spencer Ware&RB$KC
Kwon Alexander&LB$TB
Derek Carr&QB$OAK
Knile Davis&RB$KC
LeGarrette Blount&RB$NE
Bennie Logan&DL$PHI
Chandler Catanzaro&K$ARI
DeMarcus Ware&DL$DEN
Bilal Powell&RB$NYJ
Percy Harvin&WR$BUF
Scott Chandler&TE$NE
Joseph Randle&RB$DAL
Riley Cooper&WR$PHI
Eddie Lacy&RB$GB
NaVorro Bowman&LB$SF
Mark Barron&DB$STL
Delanie Walker&TE$TEN
Glover Quin&DB$DET
Roddy White&WR$ATL
Derrick Johnson&LB$KC
Doug Baldwin&WR$SEA
Lavonte David&LB$TB
Geno Atkins&DL$CIN
Cairo Santos&K$KC
Dont'a Hightower&LB$NE
Stephen Gostkowski&K$NE
Brandon Graham&LB$PHI
Michael Wilhoite&LB$SF
Bashaud Breeland&DB$WAS
Frank Gore&RB$IND
Richard Sherman&DB$SEA
Dannell Ellerbe&LB$NO
Jimmy Smith&DB$BAL
Tyler Eifert&TE$CIN
D.J. Swearinger&DB$ARI
Elvis Dumervil&LB$BAL
Michael Brockers&DL$STL
Martavis Bryant&WR$PIT
Melvin Ingram&LB$SD
Larry Fitzgerald&WR$ARI
Matt Jones&RB$WAS
Khalil Mack&DL$OAK
Jacquies Smith&DL$TB
Tyler Lockett&WR$SEA
Marshawn Lynch&RB$SEA
Joique Bell&RB$DET
Keenan Robinson&LB$WAS
Jelani Jenkins&LB$MIA
Tamba Hali&LB$KC
Charles Clay&TE$BUF
Sheldon Richardson&DL$NYJ
Christine Michael&RB$SEA
Lawrence Guy&DL$BAL
Jamison Crowder&WR$WAS
Michael Griffin&DB$TEN
Derrick Shelby&DL$MIA
Kyle Van Noy&LB$DET
J.J. Watt&DL$HOU
Eric Decker&WR$NYJ
Ha Ha Clinton-Dix&DB$GB
Mychal Kendricks&LB$PHI
Nigel Bradham&LB$BUF
Wes Welker&WR$STL
Golden Tate&WR$DET
Henry Anderson&DL$IND
Crockett Gillmore&TE$BAL
Shane Vereen&RB$NYG
Fletcher Cox&DL$PHI
Aaron Lynch&LB$SF
Randall Cobb&WR$GB
Lawrence Timmons&LB$PIT
Teddy Bridgewater&QB$MIN
Kirk Cousins&QB$WAS
Karlos Dansby&LB$CLE
Daryl Smith&LB$BAL
Lamarr Houston&DL$CHI
Jonathan Stewart&RB$CAR
Chris Ivory&RB$NYJ
Calvin Johnson&WR$DET
Preston Brown&LB$BUF
Ronald Darby&DB$BUF
Sean Lee&LB$DAL
Pernell McPhee&LB$CHI
Charles Sims&RB$TB
Julius Thomas&TE$JAC
Josh McCown&QB$CLE
Lance Moore&WR$DET
Willie Young&DL$CHI
Carson Palmer&QB$ARI
Pierre Garcon&WR$WAS
Odell Beckham&WR$NYG
Barry Church&DB$DAL
Matt Bryant&K$ATL
Danny Woodhead&RB$SD
Ryan Fitzpatrick&QB$NYJ
Brandon LaFell&WR$NE
Tevin Coleman&RB$ATL
Dontari Poe&DL$KC
Jordy Nelson&WR$GB
Nate Washington&WR$HOU
Tim Hightower&RB$NO
Stephon Tuitt&DL$PIT
Charles Johnson&WR$MIN
Brandon McManus&K$DEN
Chris Boswell&K$PIT
Connor Barwin&LB$PHI
Dwight Lowery&DB$IND
Antwon Blake&DB$PIT
Gerald McCoy&DL$TB
Andre Ellington&RB$ARI
Vontaze Burfict&LB$CIN
Rob Ninkovich&DL$NE
Corey Liuget&DL$SD
C.J. Anderson&RB$DEN
DeAngelo Williams&RB$PIT
Tashaun Gipson&DB$CLE
Jerrell Freeman&LB$IND
Malcolm Smith&LB$OAK
Derek Wolfe&DL$DEN
Eli Manning&QB$NYG
Thomas Davis&LB$CAR
Travis Kelce&TE$KC
Dominique Rodgers-Cromartie&DB$NYG
Jairus Byrd&DB$NO
DeSean Jackson&WR$WAS
Antonio Gates&TE$SD
Matt Ryan&QB$ATL
Adam Jones&DB$CIN
Reshad Jones&DB$MIA
Mohamed Sanu&WR$CIN
David Johnson&RB$ARI
Josh Lambo&K$SD
Jarvis Landry&WR$MIA
Eric Weddle&DB$SD
David Harris&LB$NYJ
Brandon Williams&DL$BAL
Tony Romo&QB$DAL
Alex Smith&QB$KC
Leonard Hankerson&WR$BUF
Aaron Donald&DL$STL
Marcus Peters&DB$KC
Uani' Unga&LB$NYG
Tom Brady&QB$NE
Ryan Mathews&RB$PHI
Tyrann Mathieu&DB$ARI
Rishard Matthews&WR$MIA
Amari Cooper&WR$OAK
Justin Tucker&K$BAL
Jeremy Langford&RB$CHI
Mario Williams&DL$BUF
Jurrell Casey&DL$TEN
DeAndre Hopkins&WR$HOU
Joe Flacco&QB$BAL
Jordan Hicks&LB$PHI
Melvin Gordon&RB$SD
Greg Olsen&TE$CAR
Keenan Allen&WR$SD
Deone Bucannon&DB$ARI
Thomas Rawls&RB$SEA
Ezekiel Ansah&DL$DET
Owen Daniels&TE$DEN
Ryan Shazier&LB$PIT
Dan Bailey&K$DAL
Kam Chancellor&DB$SEA
Jamaal Charles&RB$KC
Kenny Stills&WR$MIA
Mike Evans&WR$TB
Everson Griffen&DL$MIN
Clay Matthews&LB$GB
Justin Durant&LB$ATL
Doug Martin&RB$TB
Nick Foles&QB$STL
C.J. Spiller&RB$NO
Darrelle Revis&DB$NYJ
Todd Gurley&RB$STL
Michael Bennett&DL$SEA
Rashad Jennings&RB$NYG
Dashon Goldson&DB$WAS
Jerry Hughes&DL$BUF
AJ McCarron&QB$CIN
Carlos Dunlap&DL$CIN
Duke Johnson&RB$CLE
Willie Snead&WR$NO
Leonard Williams&DL$NYJ
Mike Wallace&WR$MIN
LeSean McCoy&RB$BUF
Bishop Sankey&RB$TEN
Cody Parkey&K$PHI
Shaquil Barrett&LB$DEN
Cameron Jordan&DL$NO
Graham Gano&K$CAR
Denard Robinson&RB$JAC
DeMarco Murray&RB$PHI
Isaiah Crowell&RB$CLE
Allen Robinson&WR$JAC
Chris Matthews&WR$BAL
Rueben Randle&WR$NYG
Marvin Jones&WR$CIN
Justin Tuck&DL$OAK
Giovani Bernard&RB$CIN
Zach Ertz&TE$PHI
Anthony Hitchens&LB$DAL
Jameis Winston&QB$TB
Nick Folk&K$NYJ
James Jones&WR$GB
Ryan Kerrigan&LB$WAS
Kevin Minter&LB$ARI
Earl Thomas&DB$SEA
Cam Newton&QB$CAR
Peyton Manning&QB$DEN
Richard Rodgers&TE$GB
Anquan Boldin&WR$SF
James Starks&RB$GB
Vincent Rey&LB$CIN
Calvin Pryor&DB$NYJ
Michael Johnson&DL$CIN
Tavon Austin&WR$STL
Johnathan Cyprien&DB$JAC
Matthew Stafford&QB$DET
Andre Johnson&WR$IND
Cameron Heyward&DL$PIT
Harrison Smith&DB$MIN
Josh Norman&DB$CAR
Antonio Andrews&RB$TEN
C.J. Mosley&LB$BAL
DeVante Parker&WR$MIA
Colin Kaepernick&QB$SF
Stefon Diggs&WR$MIN
Derrick Morgan&LB$TEN
Jadeveon Clowney&LB$HOU
LaMichael James&RB$MIA
Julio Jones&WR$ATL
Kendall Wright&WR$TEN
Michael Crabtree&WR$OAK
Terrance Williams&WR$DAL
Jonathan Casillas&LB$NYG
Jared Allen&DL$CAR
Bobby Wagner&LB$SEA
Adrian Peterson&RB$MIN
Landon Collins&DB$NYG
Travis Benjamin&WR$CLE
Olivier Vernon&DL$MIA
T.J. Ward&DB$DEN
Adam Vinatieri&K$IND
Devonta Freeman&RB$ATL
Ben Roethlisberger&QB$PIT
Karlos Williams&RB$BUF
Martellus Bennett&TE$CHI
Alshon Jeffery&WR$CHI
Michael Floyd&WR$ARI
Vincent Jackson&WR$TB
Dwayne Harris&WR$NYG
Larry Donnell&TE$NYG
Lamar Miller&RB$MIA
Jarvis Jenkins&DL$CHI
D'Qwell Jackson&LB$IND
Lamarcus Joyner&DB$STL
Allen Bailey&DL$KC
Whitney Mercilus&LB$HOU
Alec Ogletree&LB$STL
Allen Hurns&WR$JAC
Andy Dalton&QB$CIN
James White&RB$NE
Arian Foster&RB$HOU
Mason Crosby&K$GB
Cameron Wake&DL$MIA
Torrey Smith&WR$SF
Tyrod Taylor&QB$BUF
Jordan Reed&TE$WAS
Steven Hauschka&K$SEA
Jimmy Graham&TE$SEA
Ladarius Green&TE$SD
Javorius Allen&RB$BAL
Russell Wilson&QB$SEA
Benjamin Watson&TE$NO
Brian Hoyer&QB$HOU
Julian Edelman&WR$NE
Philip Rivers&QB$SD
Robert Woods&WR$BUF
Justin Forsett&RB$BAL
Brandon Marshall&WR$NYJ
Curtis Lofton&LB$OAK
Antrel Rolle&DB$CHI
Jordan Matthews&WR$PHI
James Ihedigbo&DB$DET
Cameron Brate&TE$TB
Terrance West&RB$BAL
Anthony Barr&LB$MIN
Gary Barnidge&TE$CLE
